country_text_id
MEX
SUR
SWE
CHE
GHA
ZAF
JPN
MMR
RUS
ALB
EGY
YEM
COL
POL
BRA
USA
PRT
SLV
YMD
BGD
BOL
HTI
HND
MLI
PAK
PER
SEN
SSD
SDN
VNM
VDR
AFG
ARG
ETH
IND
KEN
PRK
KOR
XKX
LBN
NGA
PHL
TZA
TWN
THA
UGA
VEN
BEN
BTN
BFA
KHM
IDN
MOZ
NPL
NIC
NER
ZMB
ZWE
GIN
CIV
MRT
CAN
AUS
BWA
BDI
CPV
CAF
CHL
CRI
TLS
ECU
FRA
DEU
GTM
IRN
IRQ
IRL
ITA
JOR
LVA
LSO
LBR
MWI
MNG
MAR
NLD
PAN
PNG
QAT
SLE
ESP
SYR
TUN
TUR
UKR
GBR
URY
DZA
AGO
ARM
AZE
BLR
CMR
TCD
CHN
COD
COG
DJI
DOM
ERI
GAB
GMB
GEO
GNB
JAM
KAZ
KGZ
LAO
LBY
MDG
MDA
NAM
RWA
SOM
LKA
SWZ
TJK
TGO
TTO
TKM
DDR
UZB
AUT
BHR
BEL
BIH
BGR
COM
HRV
CUB
CYP
CZE
DNK
GNQ
EST
FJI
FIN
GRC
GUY
ISR
KWT
LTU
LUX
MKD
MYS
MUS
MNE
NZL
NOR
OMN
PRY
ROU
SAU
SRB
SGP
SVK
SVN
SLB
ARE
HUN
